distance_m,angle_deg,rpm,launch_speed_mps
1.78,60,900,49.401
1.78,60,950,49.401
1.78,60,1000,49.401
1.78,60,1050,49.401
1.78,60,1100,49.401
1.78,60,1150,49.401
1.78,60,1200,49.401
1.78,60,1250,49.401
1.78,60,1300,49.401
1.78,60,1350,49.401
1.78,60,1400,49.401
1.78,60,1450,49.401
1.78,60,1500,49.401
1.79,60,900,33.398
1.79,60,950,33.398
1.79,60,1000,33.398
1.79,60,1050,33.398
1.79,60,1100,33.398
1.79,60,1150,33.398
1.79,60,1200,33.398
1.79,60,1250,33.398
1.79,60,1300,33.398
1.79,60,1350,33.398
1.79,60,1400,33.398
1.79,60,1450,33.398
1.79,60,1500,33.398
1.81,60,900,27.078
1.81,60,950,27.078
1.81,60,1000,27.078
1.81,60,1050,27.078
1.81,60,1100,27.078
1.81,60,1150,27.078
1.81,60,1200,27.078
1.81,60,1250,27.078
1.81,60,1300,27.078
1.81,60,1350,27.078
1.81,60,1400,27.078
1.81,60,1450,27.078
1.81,60,1500,27.078
1.83,60,900,23.487
1.83,60,950,23.487
1.83,60,1000,23.487
1.83,60,1050,23.487
1.83,60,1100,23.487
1.83,60,1150,23.487
1.83,60,1200,23.487
1.83,60,1250,23.487
1.83,60,1300,23.487
1.83,60,1350,23.487
1.83,60,1400,23.487
1.83,60,1450,23.487
1.83,60,1500,23.487
1.85,60,900,21.11
1.85,60,950,21.11
1.85,60,1000,21.11
1.85,60,1050,21.11
1.85,60,1100,21.11
1.85,60,1150,21.11
1.85,60,1200,21.11
1.85,60,1250,21.11
1.85,60,1300,21.11
1.85,60,1350,21.11
1.85,60,1400,21.11
1.85,60,1450,21.11
1.85,60,1500,21.11
1.87,60,900,19.396
1.87,60,950,19.396
1.87,60,1000,19.396
1.87,60,1050,19.396
1.87,60,1100,19.396
1.87,60,1150,19.396
1.87,60,1200,19.396
1.87,60,1250,19.396
1.87,60,1300,19.396
1.87,60,1350,19.396
1.87,60,1400,19.396
1.87,60,1450,19.396
1.87,60,1500,19.396
1.88,60,900,18.089
1.88,60,950,18.089
1.88,60,1000,18.089
1.88,60,1050,18.089
1.88,60,1100,18.089
1.88,60,1150,18.089
1.88,60,1200,18.089
1.88,60,1250,18.089
1.88,60,1300,18.089
1.88,60,1350,18.089
1.88,60,1400,18.089
1.88,60,1450,18.089
1.88,60,1500,18.089
1.9,60,900,17.053
1.9,60,950,17.053
1.9,60,1000,17.053
1.9,60,1050,17.053
1.9,60,1100,17.053
1.9,60,1150,17.053
1.9,60,1200,17.053
1.9,60,1250,17.053
1.9,60,1300,17.053
1.9,60,1350,17.053
1.9,60,1400,17.053
1.9,60,1450,17.053
1.9,60,1500,17.053
1.92,60,900,16.209
1.92,60,950,16.209
1.92,60,1000,16.209
1.92,60,1050,16.209
1.92,60,1100,16.209
1.92,60,1150,16.209
1.92,60,1200,16.209
1.92,60,1250,16.209
1.92,60,1300,16.209
1.92,60,1350,16.209
1.92,60,1400,16.209
1.92,60,1450,16.209
1.92,60,1500,16.209
1.94,60,900,15.505
1.94,60,950,15.505
1.94,60,1000,15.505
1.94,60,1050,15.505
1.94,60,1100,15.505
1.94,60,1150,15.505
1.94,60,1200,15.505
