distance_m,angle_deg,rpm,launch_speed_mps
1.82,60,900,25.572
1.82,60,950,25.572
1.82,60,1000,25.572
1.82,60,1050,25.572
1.82,60,1100,25.572
1.82,60,1150,25.572
1.82,60,1200,25.572
1.82,60,1250,25.572
1.82,60,1300,25.572
1.82,60,1350,25.572
1.82,60,1400,25.572
1.82,60,1450,25.572
1.82,60,1500,25.572
1.91,60,900,16.692
1.91,60,950,16.692
1.91,60,1000,16.692
1.91,60,1050,16.692
1.91,60,1100,16.692
1.91,60,1150,16.692
1.91,60,1200,16.692
1.91,60,1250,16.692
1.91,60,1300,16.692
1.91,60,1350,16.692
1.91,60,1400,16.692
1.91,60,1450,16.692
1.91,60,1500,16.692
2.0,60,900,13.767
2.0,60,950,13.767
2.0,60,1000,13.767
2.0,60,1050,13.767
2.0,60,1100,13.767
2.0,60,1150,13.767
2.0,60,1200,13.767
2.0,60,1250,13.767
2.0,60,1300,13.767
2.0,60,1350,13.767
2.0,60,1400,13.767
2.0,60,1450,13.767
2.0,60,1500,13.767
2.09,60,900,12.25
2.09,60,950,12.25
2.09,60,1000,12.25
2.09,60,1050,12.25
2.09,60,1100,12.25
2.09,60,1150,12.25
2.09,60,1200,12.25
2.09,60,1250,12.25
2.09,60,1300,12.25
2.09,60,1350,12.25
2.09,60,1400,12.25
2.09,60,1450,12.25
2.09,60,1500,12.25
2.18,55,900,32.803
2.18,55,950,32.803
2.18,55,1000,32.803
2.18,55,1050,32.803
2.18,55,1100,32.803
2.18,55,1150,32.803
2.18,55,1200,32.803
2.18,55,1250,32.803
2.18,55,1300,32.803
2.18,55,1350,32.803
2.18,55,1400,32.803
2.18,55,1450,32.803
2.18,55,1500,32.803
2.18,60,900,11.319
2.18,60,950,11.319
2.18,60,1000,11.319
2.18,60,1050,11.319
2.18,60,1100,11.319
2.18,60,1150,11.319
2.18,60,1200,11.319
2.18,60,1250,11.319
2.18,60,1300,11.319
2.18,60,1350,11.319
2.18,60,1400,11.319
2.18,60,1450,11.319
2.18,60,1500,11.319
2.27,55,900,19.833
2.27,55,950,19.833
2.27,55,1000,19.833
2.27,55,1050,19.833
2.27,55,1100,19.833
2.27,55,1150,19.833
2.27,55,1200,19.833
2.27,55,1250,19.833
2.27,55,1300,19.833
2.27,55,1350,19.833
2.27,55,1400,19.833
2.27,55,1450,19.833
2.27,55,1500,19.833
2.27,60,900,10.692
2.27,60,950,10.692
2.27,60,1000,10.692
2.27,60,1050,10.692
2.27,60,1100,10.692
2.27,60,1150,10.692
2.27,60,1200,10.692
2.27,60,1250,10.692
2.27,60,1300,10.692
2.27,60,1350,10.692
2.27,60,1400,10.692
2.27,60,1450,10.692
2.27,60,1500,10.692
2.36,55,900,15.994
2.36,55,950,15.994
2.36,55,1000,15.994
2.36,55,1050,15.994
2.36,55,1100,15.994
2.36,55,1150,15.994
2.36,55,1200,15.994
2.36,55,1250,15.994
2.36,55,1300,15.994
2.36,55,1350,15.994
2.36,55,1400,15.994
2.36,55,1450,15.994
2.36,55,1500,15.994
2.36,60,900,10.247
2.36,60,950,10.247
2.36,60,1000,10.247
2.36,60,1050,10.247
2.36,60,1100,10.247
2.36,60,1150,10.247
2.36,60,1200,10.247
2.36,60,1250,10.247
2.36,60,1300,10.247
2.36,60,1350,10.247
2.36,60,1400,10.247
2.36,60,1450,10.247
2.36,60,1500,10.247
2.45,55,900,14.044
2.45,55,950,14.044
2.45,55,1000,14.044
2.45,55,1050,14.044
2.45,55,1100,14.044
2.45,55,1150,14.044
2.45,55,1200,14.044
2.45,55,1250,14.044
2.45,55,1300,14.044
2.45,55,1350,14.044
2.45,55,1400,14.044
2.45,55,1450,14.044
2.45,55,1500,14.044
2.45,60,900,9.919
2.45,60,950,9.919
2.45,60,1000,9.919
2.45,60,1050,9.919
2.45,60,1100,9.919
2.45,60,1150,9.919
2.45,60,1200,9.919
2.45,60,1250,9.919
2.45,60,1300,9.919
2.45,60,1350,9.919
2.45,60,1400,9.919
2.45,60,1450,9.919
2.45,60,1500,9.919
2.55,55,900,12.847
2.55,55,950,12.847
2.55,55,1000,12.847
2.55,55,1050,12.847
2.55,55,1100,12.847
2.55,55,1150,12.847
2.55,55,1200,12.847
2.55,55,1250,12.847
2.55,55,1300,12.847
2.55,55,1350,12.847
2.55,55,1400,12.847
2.55,55,1450,12.847
2.55,55,1500,12.847
2.55,60,900,9.672
2.55,60,950,9.672
2.55,60,1000,9.672
2.55,60,1050,9.672
2.55,60,1100,9.672
2.55,60,1150,9.672
2.55,60,1200,9.672
2.55,60,1250,9.672
2.55,60,1300,9.672
2.55,60,1350,9.672
2.55,60,1400,9.672
2.55,60,1450,9.672
2.55,60,1500,9.672
2.64,50,900,29.965
2.64,50,950,29.965
2.64,50,1000,29.965
2.64,50,1050,29.965
2.64,50,1100,29.965
2.64,50,1150,29.965
2.64,50,1200,29.965
2.64,50,1250,29.965
2.64,50,1300,29.965
2.64,50,1350,29.965
2.64,50,1400,29.965
2.64,50,1450,29.965
2.64,50,1500,29.965
2.64,55,900,12.038
2.64,55,950,12.038
2.64,55,1000,12.038
2.64,55,1050,12.038
2.64,55,1100,12.038
2.64,55,1150,12.038
2.64,55,1200,12.038
2.64,55,1250,12.038
2.64,55,1300,12.038
2.64,55,1350,12.038
2.64,55,1400,12.038
2.64,55,1450,12.038
2.64,55,1500,12.038
2.64,60,900,9.483
2.64,60,950,9.483
2.64,60,1000,9.483
2.64,60,1050,9.483
2.64,60,1100,9.483
2.64,60,1150,9.483
2.64,60,1200,9.483
2.64,60,1250,9.483
2.64,60,1300,9.483
2.64,60,1350,9.483
2.64,60,1400,9.483
2.64,60,1450,9.483
2.64,60,1500,9.483
2.73,50,900,20.999
2.73,50,950,20.999
2.73,50,1000,20.999
2.73,50,1050,20.999
2.73,50,1100,20.999
2.73,50,1150,20.999
2.73,50,1200,20.999
2.73,50,1250,20.999
2.73,50,1300,20.999
2.73,50,1350,20.999
2.73,50,1400,20.999
2.73,50,1450,20.999
2.73,50,1500,20.999
2.73,55,900,11.456
2.73,55,950,11.456
2.73,55,1000,11.456
2.73,55,1050,11.456
2.73,55,1100,11.456
2.73,55,1150,11.456
2.73,55,1200,11.456
2.73,55,1250,11.456
2.73,55,1300,11.456
2.73,55,1350,11.456
2.73,55,1400,11.456
2.73,55,1450,11.456
2.73,55,1500,11.456
2.73,60,900,9.337
2.73,60,950,9.337
2.73,60,1000,9.337
2.73,60,1050,9.337
2.73,60,1100,9.337
2.73,60,1150,9.337
2.73,60,1200,9.337
2.73,60,1250,9.337
2.73,60,1300,9.337
2.73,60,1350,9.337
2.73,60,1400,9.337
2.73,60,1450,9.337
2.73,60,1500,9.337
2.82,50,900,17.48
2.82,50,950,17.48
2.82,50,1000,17.48
2.82,50,1050,17.48
2.82,50,1100,17.48
2.82,50,1150,17.48
2.82,50,1200,17.48
2.82,50,1250,17.48
2.82,50,1300,17.48
2.82,50,1350,17.48
2.82,50,1400,17.48
2.82,50,1450,17.48
